"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"176","Ladell Betts",2002,"RB",22,36,"Iowa",70,46.2,38,23,116,70.6,40.6,56,2002,2010,15,30,3,14.8,70.9,18,44.8
"177","Lamar Gordon",2002,"RB",22,9,"North Dakota State",73,45.5,34,16,119,NA,NA,84,2002,2006,3,18.9,2,12,71.3,5,30.9
"178","Lamar Miller",2012,"RB",20,47,"Miami (FL)",71,43.4,33,NA,NA,NA,NA,97,2012,2020,32,55.3,8,14.8,77.3,40,70.1
"179","LaMichael James",2012,"RB",22,2,"Oregon",68,43.5,35,15,123,68.8,41.2,61,2012,2015,0,10.7,0,2.5,55.6,0,13.2
"180","Larry Johnson",2003,"RB",23,56,"Penn State",73,44.5,NA,19,NA,NA,NA,27,2003,2011,55,73.2,6,16.2,68.1,61,89.4
"181","Larry Ned",2002,"RB",23,0,"San Diego State",71,46.2,34.5,15,120,71.2,NA,197,2003,2004,0,0,0,0.5,100,0,0.5
"182","Laurence Maroney",2006,"RB",21,27,"Minnesota",72,44.8,NA,NA,NA,NA,NA,21,2006,2010,21,51.1,1,9.4,69.8,22,60.5
"183","Le'Veon Bell",2013,"RB",21,68,"Michigan State",73,46,31.5,24,118,67.5,42.4,48,2013,2021,42,68.3,9,34.3,79.5,51,102.6
"184","Lee Suggs",2003,"RB",22,8,"Virginia Tech",72,44.4,NA,NA,NA,NA,NA,115,2003,2006,4,37,1,7.5,57.1,5,44.5
"185","LenDale White",2006,"RB",21,15,"USC",72,44.9,NA,NA,NA,NA,NA,45,2006,2009,24,40.5,0,3.5,63.6,24,44
"186","Leon Washington",2006,"RB",23,34,"Florida State",68,44.2,32.5,17,105,69.4,43.7,117,2006,2014,16,18,4,10.2,71.2,20,28.2
"187","Leonard Fournette",2017,"RB",22,35,"LSU",72,45.1,28.5,NA,NA,NA,NA,4,2017,2021,31,60.5,4,26.9,78.4,35,87.4
"188","Leonard Henry",2002,"RB",24,1,"East Carolina",73,45.7,35,26,113,71.1,42.9,241,2004,2004,0,23.5,0,2,50,0,25.5
"189","LeSean McCoy",2009,"RB",20,104,"Pittsburgh",70,45,NA,NA,NA,NA,NA,53,2009,2020,73,65.3,16,22.9,77.8,89,88.2
"190","Lionel Gates",2005,"RB",22,0,"Louisville",72,46,36,23,121,71.7,41,236,2007,2007,0,0,0,0,NA,0,0
"191","Lorenzo Booker",2007,"RB",22,4,"Florida State",70,44.6,35.5,26,121,NA,NA,71,2007,2011,0,6.4,0,10.1,71.2,0,16.5
"192","Lorenzo Taliaferro",2014,"RB",22,3,"Coastal Carolina",72,45.8,33,18,118,68.8,42.2,138,2014,2016,5,17.8,0,8.1,88.9,5,25.9
"193","Malaefou MacKenzie",2003,"RB",23,0,"USC",70,46.7,NA,NA,NA,NA,NA,218,2003,2003,0,0,0,0,NA,0,0
"194","Marcus Murphy",2015,"RB",23,2,"Missouri",69,46.1,29,11,109,NA,44,230,2015,2018,0,10.4,0,1.3,63.6,0,11.7
"195","Marcus Thomas",2008,"RB",23,0,"Texas-El Paso",72,45.9,30,21,116,NA,NA,166,2008,2008,0,0,0,0,NA,0,0
"196","Marion Grice",2014,"RB",22,0,"Arizona State",72,46.7,NA,NA,NA,NA,NA,201,2014,2014,1,4.1,0,2.9,63.6,1,7
"197","Mark Ingram",2011,"RB",21,74,"Alabama",69,46.2,31.5,21,118,71.3,46.2,28,2011,2021,64,54,10,14.1,80.2,74,68.1
"198","Mark Walton",2018,"RB",20,3,"Miami (FL)",70,46,31.5,18,118,NA,NA,112,2018,2019,0,11.2,0,6.2,69,0,17.4
"199","Marlon Mack",2017,"RB",20,20,"South Florida",71,45,35.5,15,125,NA,NA,143,2017,2021,20,52.9,2,9.5,67.9,22,62.4
"200","Marshawn Lynch",2007,"RB",20,90,"California",71,44.6,35.5,20,125,70.5,45.5,12,2007,2019,85,69.9,9,14.9,73.4,94,84.8
"201","Matt Forte",2008,"RB",22,102,"Tulane",73,44.4,33,23,118,68.4,42.3,44,2008,2017,54,67.1,21,32,76.5,75,99.1
"202","Matt Jones",2015,"RB",21,9,"Florida",74,46.1,31.5,20,112,NA,42,95,2005,2008,0,0.7,15,39.9,55,15,40.6
"203","Matt Jones",2015,"RB",21,9,"Florida",74,46.1,31.5,20,112,NA,42,95,2015,2017,6,38.6,1,15.1,81.8,7,53.7
"204","Matthew Dayes",2017,"RB",22,0,"North Carolina State",69,44.7,28,18,109,NA,NA,252,2017,2018,0,0.6,0,1.3,80,0,1.9
"205","Maurice Jones-Drew",2006,"RB",20,86,"UCLA",67,43.9,36,18,116,70.8,43.8,60,2006,2014,68,64.8,11,23.4,74.4,79,88.2
"206","Maurice Morris",2002,"RB",22,33,"Oregon",71,45.3,38.5,23,119,NA,NA,54,2002,2011,13,25.2,5,8,69.3,18,33.2
"207","Melvin Gordon",2015,"RB",21,55,"Wisconsin",73,45.2,35,19,126,70.4,40.7,15,2015,2021,53,62.7,14,22.9,74.7,67,85.6
"208","Mewelde Moore",2004,"RB",21,33,"Tulane",71,46.5,35,NA,118,70.5,41.2,119,2004,2012,6,18.6,8,16,76.4,14,34.6
"209","Michael Bennett",2001,"RB",22,38,"Wisconsin",69,43.8,39.5,13,130,NA,NA,27,2001,2010,13,34.6,6,12.1,83.2,19,46.7
"210","Michael Bush",2007,"RB",22,28,"Louisville",73,46.2,NA,NA,NA,NA,NA,100,2008,2013,29,36.5,2,11.3,74.8,31,47.8
"211","Michael Turner",2004,"RB",22,63,"Northern Illinois",70,44.9,31,22,114,75,41.5,154,2004,2012,66,54.8,1,3.9,64.8,67,58.7
"212","Michael Wiley",2000,"RB",22,4,"Ohio State",71,45,NA,NA,NA,NA,NA,144,2000,2002,1,12,2,7.5,58.1,3,19.5
"213","Mike Davis",2015,"RB",22,21,"South Carolina",69,46.1,34,17,116,70,41.8,126,2015,2021,14,25.7,4,13.4,79,18,39.1
"214","Mike Gillislee",2013,"RB",22,11,"Florida",71,45.5,30.5,15,119,71.2,44,164,2013,2018,16,35.9,1,2.9,85,17,38.8
"215","Mike Goodson",2009,"RB",21,7,"Texas A&M",72,44.3,39.5,14,118,68.9,42.2,111,2009,2013,3,18.6,1,12.9,75.3,4,31.5
"216","Mike Hart",2008,"RB",21,3,"Michigan",69,46.9,28,23,110,NA,NA,202,2008,2010,2,12.6,0,4.6,80,2,17.2
"217","Mike James",2013,"RB",21,2,"Miami (FL)",70,45.3,35,28,115,NA,46.2,189,2013,2016,0,15.3,0,2.6,93.8,0,17.9
"218","Mikel Leshoure",2011,"RB",20,5,"Illinois",72,45.6,38,21,122,68.2,44,57,2012,2013,9,47.5,0,12.6,69.4,9,60.1
"219","Montario Hardesty",2010,"RB",23,4,"Tennessee",72,44.9,41,21,124,68.7,41.4,59,2011,2012,1,23.3,0,6,61.5,1,29.3
"220","Montee Ball",2013,"RB",22,7,"Wisconsin",70,46.6,32,15,118,68.8,44,58,2013,2014,5,34.8,0,9.9,72.5,5,44.7
"221","Musa Smith",2003,"RB",20,6,"Georgia",73,44.5,35.5,NA,123,NA,NA,77,2003,2007,4,10.1,0,7.4,84.4,4,17.5
"222","Nehemiah Broughton",2005,"RB",22,0,"Citadel",71,45.9,30,25,108,75.4,42.8,222,2005,2006,0,0.5,0,0,NA,0,0.5
"223","Nick Chubb",2018,"RB",22,37,"Georgia",71,45.2,38.5,29,128,70.9,42.5,35,2018,2021,36,83,3,12.9,76,39,95.9
"224","Noah Herron",2005,"RB",22,3,"Northwestern",71,46,31,17,108,69.5,39.7,244,2005,2006,3,11.9,2,9.2,82.9,5,21.1
"225","Nyheim Hines",2018,"RB",21,24,"North Carolina State",68,43.8,35.5,NA,119,71.8,43.5,104,2018,2021,9,18,7,23.6,77.2,16,41.6
"226","Onterrio Smith",2003,"RB",22,14,"Oregon",70,44.8,NA,19,NA,NA,NA,105,2003,2004,7,43.2,2,20.1,78.5,9,63.3
"227","Paul Perkins",2016,"RB",21,5,"UCLA",70,45.4,32,19,124,NA,NA,149,2016,2019,0,19.8,0,7.5,68.6,0,27.3
"228","Quentin Griffin",2003,"RB",22,6,"Oklahoma",67,44.8,38,21,123,NA,40.8,108,2003,2004,2,41,1,8.1,72,3,49.1
"229","Quincy Wilson",2004,"RB",22,0,"West Virginia",69,46,33.5,26,118,76.8,43.6,219,2006,2007,0,0.5,0,0,NA,0,0.5
"230","Quinton Ganther",2006,"RB",21,3,"Utah",69,45,35,29,119,71.9,NA,246,2006,2010,3,7.8,0,4.2,85,3,12
"231","Rashaad Penny",2018,"RB",22,12,"San Diego State",71,44.6,32.5,13,120,NA,NA,27,2018,2021,11,42.5,1,5.6,74.2,12,48.1
"232","Rashad Jennings",2009,"RB",23,35,"Liberty",73,45.2,34,29,120,68.6,42,250,2009,2016,23,40.6,2,15.8,76.4,25,56.4
"233","Rashard Mendenhall",2008,"RB",20,31,"Illinois",70,44.1,33.5,26,117,NA,41.8,23,2008,2013,37,58.8,2,11,74.2,39,69.8
"234","Ray Rice",2008,"RB",21,69,"Rutgers",68,44.2,31.5,23,119,66.5,42,55,2008,2013,37,67.2,6,33,75.9,43,100.2
"235","Reggie Bush",2006,"RB",21,72,"USC",71,43.7,NA,NA,NA,NA,NA,2,2006,2016,36,41,18,26.9,72.1,54,67.9
"236","Reuben Droughns",2000,"RB",21,29,"Oregon",71,46.6,30,13,115,73.4,44.1,81,2001,2008,19,31.6,6,8.7,71.5,25,40.3
"237","Rex Burkhead",2013,"RB",22,22,"Nebraska",70,47.3,39,21,125,68.5,40.9,190,2013,2021,17,18.5,8,13.4,76,25,31.9
"238","Robert Turbin",2012,"RB",22,17,"Utah State",70,44.2,36,28,122,71.6,43.1,106,2012,2019,9,16.5,3,8.4,76.1,12,24.9
"239","Rock Cartwright",2002,"RB",22,10,"Kansas State",68,44.7,35,30,116,71.8,42.5,257,2002,2011,6,6.2,2,3.8,72.7,8,10
"240","Ron Dayne",2000,"RB",21,26,"Wisconsin",71,46.5,NA,NA,NA,NA,NA,11,2000,2007,28,38.8,0,3.5,74,28,42.3
"241","Rondell Mealey",2000,"RB",23,2,"LSU",72,46.9,33,NA,120,68.9,41.5,252,2001,2002,1,5.2,0,5.4,81.8,1,10.6
"242","Ronnie Brown",2005,"RB",23,48,"Auburn",72,44.3,34,18,117,71,40.8,2,2005,2014,38,40.8,2,14.9,78.3,40,55.7
"243","Ronnie Hillman",2012,"RB",20,18,"San Diego State",69,44.2,37,17,NA,NA,NA,67,2012,2016,12,35.3,1,9.4,67.3,13,44.7
"244","Roy Helu",2011,"RB",22,14,"Nebraska",71,44,36.5,11,119,66.7,40.1,105,2011,2015,7,20.5,4,21.5,80.7,11,42
"245","Royce Freeman",2018,"RB",22,9,"Oregon",71,45.4,34,17,118,69,41.6,71,2018,2021,8,22.2,1,8,79.8,9,30.2
"246","Rudi Johnson",2001,"RB",21,51,"Auburn",70,45.7,37.5,24,119,73.2,42.2,100,2001,2008,49,62.9,2,7.1,74.8,51,70
"247","Ryan Mathews",2010,"RB",22,49,"Fresno State",72,43.7,36,19,121,70,43.3,12,2010,2016,37,61.2,3,15.9,79.2,40,77.1
"248","Ryan Moats",2005,"RB",22,7,"Louisiana Tech",68,44.6,36,19,117,72.2,41,77,2005,2009,8,21.9,1,3.3,74.1,9,25.2
"249","Ryan Torain",2008,"RB",21,5,"Arizona State",72,46.1,34,21,120,NA,NA,139,2008,2012,6,46,2,6.7,66.7,8,52.7
"250","Samaje Perine",2017,"RB",21,10,"Oklahoma",71,46.5,33,30,116,72.6,43.7,114,2017,2021,5,20,2,7.5,88.7,7,27.5
"251","Saquon Barkley",2018,"RB",21,29,"Penn State",72,44,41,29,NA,NA,42.4,2,2018,2021,19,66.8,8,33.7,73.1,27,100.5
"252","Shane Vereen",2011,"RB",21,27,"California",70,44.9,34,31,115,69.5,42.8,56,2011,2017,8,18.8,11,23.6,70.8,19,42.4
"253","Shaun Alexander",2000,"RB",22,77,"Alabama",72,45.8,NA,NA,NA,NA,NA,19,2000,2008,100,76.9,12,12.4,68,112,89.3
"254","Shonn Greene",2009,"RB",23,25,"Iowa",70,45.5,37,19,121,71,44,65,2009,2014,24,48.4,0,6.3,64.9,24,54.7
"255","Shyrone Stith",2000,"RB",21,0,"Virginia Tech",67,46,35,13,111,71.4,41.4,243,2000,2002,1,3.7,0,0,NA,1,3.7
"256","Sony Michel",2018,"RB",23,22,"Georgia",71,45.4,NA,22,NA,NA,42.1,31,2018,2021,18,57,2,7,64.4,20,64
"257","Spencer Ware",2013,"RB",21,18,"LSU",70,46.2,NA,NA,NA,NA,NA,194,2013,2019,11,37.9,2,16.2,82.1,13,54.1
"258","Stepfan Taylor",2013,"RB",21,3,"Stanford",69,47.6,30,17,110,71.3,45,140,2013,2016,1,6.4,3,2.5,74.1,4,8.9
"259","Stevan Ridley",2011,"RB",22,27,"LSU",71,46.5,36,18,118,67.8,42.1,73,2011,2018,24,42.5,0,2.2,66.7,24,44.7
"260","Steve Slaton",2008,"RB",22,21,"West Virginia",69,44.5,33.5,19,118,NA,NA,89,2008,2011,13,42.1,5,18,82,18,60.1
"261","Steven Jackson",2004,"RB",20,93,"Oregon State",73,45.5,NA,NA,NA,NA,NA,24,2004,2015,69,71.5,9,23,73.4,78,94.5
"262","T.J. Duckett",2002,"RB",21,24,"Michigan State",72,44.5,NA,NA,NA,NA,NA,18,2002,2008,44,30.3,0,3.3,79.5,44,33.6
"263","T.J. Logan",2017,"RB",22,0,"North Carolina",69,43.7,33.5,17,121,NA,NA,179,2018,2019,0,0.5,0,2.3,90,0,2.8
"264","T.J. Yeldon",2015,"RB",21,22,"Alabama",73,46.1,36,22,117,71.9,42.2,36,2015,2020,6,33.4,7,24.1,73.4,13,57.5
"265","Taiwan Jones",2011,"RB",22,3,"East. Washington",72,43.3,NA,13,NA,NA,NA,125,2011,2021,0,1.8,1,2.1,67.9,1,3.9
"266","Tarik Cohen",2017,"RB",21,22,"North Carolina A&T",66,44.2,31.5,11,118,NA,NA,119,2017,2020,5,21.6,9,30.9,76,14,52.5
"267","Tashard Choice",2008,"RB",23,14,"Georgia Tech",70,44.8,34,20,119,68.8,NA,122,2008,2013,10,17.9,0,6.5,66.4,10,24.4
"268","Tatum Bell",2004,"RB",23,23,"Oklahoma State",71,43.7,38.5,25,117,NA,NA,41,2004,2008,16,51.4,0,7.8,70.3,16,59.2
"269","Terrance Ganaway",2012,"RB",23,0,"Baylor",71,46.1,37.5,NA,119,71.5,42.5,202,2012,2012,0,0,0,0,NA,0,0
"270","Terrance West",2014,"RB",23,11,"Towson",69,45.6,33.5,16,120,NA,NA,94,2014,2017,11,42.2,2,8,76.1,13,50.2
"271","Tevin Coleman",2015,"RB",21,36,"Indiana",71,44,NA,22,NA,NA,NA,73,2015,2021,24,37,12,14.3,69.2,36,51.3
"272","Theo Riddick",2013,"RB",21,26,"Notre Dame",70,46.8,32,NA,118,NA,NA,199,2013,2020,5,11.8,14,25.9,77.3,19,37.7
"273","Thomas Jones",2000,"RB",21,78,"Virginia",70,44.5,NA,NA,NA,NA,NA,7,2000,2011,68,58.8,3,11.2,75.1,71,70
"274","Toby Gerhart",2010,"RB",22,17,"Stanford",72,45,38,22,118,69.4,42.5,51,2010,2015,7,20.4,3,9.9,75.8,10,30.3
"275","Todd Gurley",2015,"RB",20,59,"Georgia",73,45.2,NA,17,NA,NA,NA,10,2015,2020,67,69.1,12,25.6,72.3,79,94.7
"276","Tony Hunt",2007,"RB",21,0,"Penn State",74,46.8,NA,24,NA,NA,NA,90,2007,2008,2,1.8,0,3,100,2,4.8
"277","Travis Henry",2001,"RB",22,46,"Tennessee",69,46.1,NA,23,NA,NA,NA,58,2001,2007,38,67.6,2,10.6,70.9,40,78.2
"278","Travis Minor",2001,"RB",21,11,"Florida State",70,44.4,32,9,115,NA,NA,85,2001,2008,8,10.4,1,4,69.8,9,14.4
"279","Travis Prentice",2000,"RB",23,4,"Miami (OH)",72,45,37,23,115,69.2,44,63,2000,2001,9,17.5,1,6.7,86.4,10,24.2
"280","Travis Stephens",2002,"RB",23,0,"Tennessee",68,46,32,15,121,NA,NA,119,2002,2002,0,0,0,6,100,0,6
"281","Tre Mason",2014,"RB",20,8,"Auburn",68,45,38.5,NA,126,NA,41.5,75,2014,2015,5,38.9,1,9.4,66.7,6,48.3
"282","Trent Richardson",2012,"RB",21,18,"Alabama",69,44.8,NA,NA,NA,NA,NA,3,2012,2014,17,44.2,2,19.8,72.4,19,64
"283","Trung Canidate",2000,"RB",23,11,"Arizona",71,44.1,NA,18,NA,NA,NA,31,2000,2003,7,23.8,1,5.7,68.1,8,29.5
"284","Tyler Ervin",2016,"RB",22,2,"San Jose State",70,44.1,39,17,130,NA,NA,119,2016,2020,0,2.1,0,4.3,71.1,0,6.4
"285","Vernand Morency",2005,"RB",25,8,"Oklahoma State",70,46.6,33.5,19,108,70.2,41.2,73,2005,2007,4,18.6,0,10.4,78.1,4,29
"286","Vick Ballard",2012,"RB",21,5,"Mississippi State",70,45.9,33,23,115,70.3,41.9,170,2012,2013,2,51.6,1,8.6,62.1,3,60.2
"287","Wali Lundy",2006,"RB",22,5,"Virginia",71,44.8,35,18,111,69.9,43.6,170,2006,2006,4,34,0,14.6,84.6,4,48.6
"288","Wayne Gallman",2017,"RB",22,12,"Clemson",72,46,29.5,21,120,71.7,42.8,140,2017,2021,9,25.4,2,8.5,70.4,11,33.9
"289","Wendell Smallwood",2016,"RB",22,10,"West Virginia",70,44.7,33.5,14,120,68.3,42.8,153,2016,2021,5,17.1,2,8.5,71.4,7,25.6
"290","William Green",2002,"RB",22,15,"Boston Col.",72,46,42,27,121,NA,NA,16,2002,2005,9,45.8,0,6,63.4,9,51.8
"291","Willis McGahee",2003,"RB",21,67,"Miami (FL)",72,44.5,NA,NA,NA,NA,NA,23,2004,2013,65,59.7,5,9.4,73.7,70,69.1
"292","Xavier Omon",2008,"RB",23,0,"Northwest Missouri State",71,45.2,31,17,112,NA,NA,179,2008,2009,0,3.9,0,0,0,0,3.9
"293","Zac Stacy",2013,"RB",21,11,"Vanderbilt",68,45.5,33,27,122,67,41.7,160,2013,2015,9,38.7,1,10.2,75.7,10,48.9
